Amostra;Freq;Set Power;SF;BW;Power;Consumption
14;433;22;12;2;21.65;0.137779
14;470;14;7;0;14.3;0.088909
14;470;14;7;2;14.22;0.078814
14;470;14;12;0;14.28;0.089064
14;470;14;12;2;14.29;0.089345
14;470;22;7;0;21.14;0.137647
14;470;22;7;2;20.96;0.121522
14;470;22;12;0;21.12;0.137638
14;470;22;12;2;21.13;0.138005
14;868;14;7;0;13.61;0.084945
14;868;14;7;2;13.43;0.075372
14;868;14;12;0;13.6;0.085138
14;868;14;12;2;13.61;0.085393
14;868;22;7;0;21.68;0.13326
14;868;22;7;2;21.49;0.11763
14;868;22;12;0;21.66;0.13321
14;868;22;12;2;21.65;0.13361
14;915;14;7;0;12.85;0.087922
14;915;14;7;2;12.77;0.077968
14;915;14;12;0;12.84;0.088134
14;915;14;12;2;12.86;0.088371
14;915;22;7;0;21.99;0.12556
14;915;22;7;2;21.85;0.110927
14;915;22;12;0;21.97;0.125521
14;915;22;12;2;21.97;0.125951
14;923;14;7;0;12.73;0.088586
14;923;14;7;2;12.56;0.078552
14;923;14;12;0;12.72;0.088797
14;923;14;12;2;12.72;0.089035
14;923;22;7;0;21.94;0.123963
14;923;22;7;2;21.77;0.109541
14;923;22;12;0;21.93;0.123981
14;923;22;12;2;21.93;0.124352
15;433;14;7;0;14.33;0.085668
15;433;14;7;2;14.29;0.075953
15;433;14;12;0;14.34;0.085825
15;433;14;12;2;14.34;0.086072
15;433;22;7;0;21.68;0.137934
15;433;22;7;2;21.57;0.121727
15;433;22;12;0;21.67;0.137846
15;433;22;12;2;21.66;0.138275
15;470;14;7;0;14.4;0.08967
15;470;14;7;2;14.25;0.079454
15;470;14;12;0;14.39;0.089808
15;470;14;12;2;14.39;0.090035
15;470;22;7;0;21.21;0.138836
15;470;22;7;2;21.11;0.122517
15;470;22;12;0;21.2;0.138794
15;470;22;12;2;21.19;0.13908
15;868;14;7;0;13.67;0.086603
15;868;14;7;2;13.59;0.076819
15;868;14;12;0;13.66;0.086758
15;868;14;12;2;13.68;0.087005
15;868;22;7;0;21.75;0.134096
15;868;22;7;2;21.61;0.118398
15;868;22;12;0;21.74;0.134047
15;868;22;12;2;21.74;0.134447
15;915;14;7;0;12.96;0.089619
15;915;14;7;2;12.86;0.079443
15;915;14;12;0;12.95;0.089796
15;915;14;12;2;12.97;0.090014
15;915;22;7;0;21.99;0.126542
15;915;22;7;2;21.82;0.111801
15;915;22;12;0;21.98;0.126454
15;915;22;12;2;21.98;0.126878
15;923;14;7;0;12.85;0.090342
15;923;14;7;2;12.78;0.080062
15;923;14;12;0;12.84;0.090515
15;923;14;12;2;12.84;0.090728
15;923;22;7;0;21.94;0.125013
15;923;22;7;2;21.86;0.110473
15;923;22;12;0;21.92;0.124945
15;923;22;12;2;21.92;0.125356
16;433;14;7;0;14.46;0.08605
16;433;14;7;2;14.1;0.075309
16;433;14;12;0;14.26;0.085127
16;433;14;12;2;14.26;0.085372
16;433;22;7;0;21.67;0.137358
16;433;22;7;2;21.58;0.121203
16;433;22;12;0;21.68;0.137354
